,location,total_sqft,bath,price,bhk
70,6th Phase JP Nagar,1645.0,3.0,100.0,3
71,6th Phase JP Nagar,1140.0,2.0,65.0,2
72,6th Phase JP Nagar,2040.0,3.0,200.0,3
73,6th Phase JP Nagar,1213.0,2.0,63.0,2
74,6th Phase JP Nagar,1216.0,2.0,60.0,2
75,6th Phase JP Nagar,1460.0,2.0,80.0,2
76,6th Phase JP Nagar,2003.0,3.0,200.0,3
77,6th Phase JP Nagar,1810.0,3.0,131.0,3
78,6th Phase JP Nagar,1515.0,2.0,135.0,3
79,6th Phase JP Nagar,1192.0,2.0,75.0,2
80,6th Phase JP Nagar,1280.0,2.0,88.0,2
81,7th Phase JP Nagar,1080.0,2.0,72.0,2
82,7th Phase JP Nagar,1270.0,2.0,93.0,2
83,7th Phase JP Nagar,1420.0,2.0,100.0,3
84,7th Phase JP Nagar,1850.0,3.0,150.0,3
85,7th Phase JP Nagar,1245.0,2.0,94.0,2
86,7th Phase JP Nagar,1175.0,2.0,82.0,2
87,7th Phase JP Nagar,1400.0,2.0,95.0,3
88,7th Phase JP Nagar,2225.0,3.0,160.0,3
89,7th Phase JP Nagar,1050.0,2.0,71.0,2
90,7th Phase JP Nagar,1100.0,2.0,46.0,2
91,7th Phase JP Nagar,918.0,2.0,50.49,2
92,7th Phase JP Nagar,1450.0,2.0,100.0,3
93,7th Phase JP Nagar,1190.0,2.0,49.98,2
94,7th Phase JP Nagar,1420.0,2.0,96.0,3
95,7th Phase JP Nagar,1680.0,3.0,120.0,3
96,7th Phase JP Nagar,980.0,2.0,69.0,2
97,7th Phase JP Nagar,1180.0,2.0,72.0,2
98,7th Phase JP Nagar,1400.0,3.0,115.0,3
99,7th Phase JP Nagar,1270.0,2.0,83.0,2
100,7th Phase JP Nagar,2503.0,4.0,188.0,4
101,7th Phase JP Nagar,2200.0,3.0,190.0,3
102,7th Phase JP Nagar,1575.0,2.0,110.0,3
103,7th Phase JP Nagar,1850.0,3.0,140.0,3
104,7th Phase JP Nagar,1575.0,2.0,120.0,3
105,7th Phase JP Nagar,1850.0,3.0,150.0,3
106,7th Phase JP Nagar,1680.0,3.0,120.0,3
107,7th Phase JP Nagar,1175.0,2.0,82.5,2
108,7th Phase JP Nagar,1215.0,2.0,90.0,2
109,7th Phase JP Nagar,1050.0,2.0,75.0,2
110,7th Phase JP Nagar,1300.0,3.0,89.13,3
111,7th Phase JP Nagar,1130.0,2.0,73.0,2
112,7th Phase JP Nagar,1450.0,3.0,100.0,3
113,7th Phase JP Nagar,1050.0,2.0,50.0,2
114,7th Phase JP Nagar,1275.0,2.0,87.0,2
115,7th Phase JP Nagar,1650.0,3.0,110.0,3
116,7th Phase JP Nagar,850.0,2.0,42.0,2
117,7th Phase JP Nagar,1680.0,3.0,117.0,3
118,7th Phase JP Nagar,1850.0,3.0,150.0,3
119,7th Phase JP Nagar,1236.0,2.0,61.33,2
120,7th Phase JP Nagar,1000.0,2.0,53.0,2
121,7th Phase JP Nagar,1680.0,3.0,125.0,3
122,7th Phase JP Nagar,1675.0,2.0,135.0,3
123,7th Phase JP Nagar,1187.0,2.0,59.0,2
124,7th Phase JP Nagar,1850.0,3.0,155.0,3
125,7th Phase JP Nagar,1000.0,2.0,61.0,2
126,7th Phase JP Nagar,1460.0,2.0,100.0,3
127,7th Phase JP Nagar,1650.0,3.0,110.0,3
128,7th Phase JP Nagar,1200.0,2.0,62.5,2
129,7th Phase JP Nagar,1000.0,2.0,70.65,2
130,7th Phase JP Nagar,1080.0,2.0,75.0,2
131,7th Phase JP Nagar,1680.0,3.0,125.0,3
132,7th Phase JP Nagar,1460.0,2.0,97.0,3
133,7th Phase JP Nagar,1120.0,2.0,65.0,2
134,7th Phase JP Nagar,1100.0,3.0,60.0,2
135,7th Phase JP Nagar,1790.0,3.0,120.0,3
136,7th Phase JP Nagar,1680.0,3.0,117.0,3
137,7th Phase JP Nagar,1050.0,2.0,77.0,2
138,7th Phase JP Nagar,1050.0,2.0,75.0,2
139,7th Phase JP Nagar,1040.0,2.0,75.0,2
140,7th Phase JP Nagar,1400.0,2.0,95.0,3
141,7th Phase JP Nagar,1800.0,3.0,130.0,3
142,7th Phase JP Nagar,1050.0,2.0,68.0,2
143,7th Phase JP Nagar,1000.0,2.0,60.0,2
144,7th Phase JP Nagar,1680.0,3.0,125.0,3
145,7th Phase JP Nagar,1050.0,2.0,77.47,2
146,7th Phase JP Nagar,1270.0,2.0,80.0,2
147,7th Phase JP Nagar,1680.0,3.0,122.0,3
148,7th Phase JP Nagar,1130.0,2.0,85.0,2
149,7th Phase JP Nagar,1680.0,3.0,130.0,3
150,7th Phase JP Nagar,980.0,2.0,77.44,2
151,7th Phase JP Nagar,1680.0,3.0,112.0,3
152,7th Phase JP Nagar,2095.0,3.0,150.0,3
153,7th Phase JP Nagar,1976.0,3.0,145.0,3
154,7th Phase JP Nagar,1600.0,2.0,110.0,3
155,7th Phase JP Nagar,1765.0,3.0,118.0,3
156,7th Phase JP Nagar,1275.0,2.0,88.0,3
157,7th Phase JP Nagar,1450.0,2.0,102.0,3
158,7th Phase JP Nagar,1575.0,2.0,110.0,3
159,7th Phase JP Nagar,750.0,1.0,47.0,1
160,7th Phase JP Nagar,990.0,2.0,50.0,2
161,7th Phase JP Nagar,1000.0,1.0,60.0,1
162,7th Phase JP Nagar,1430.0,2.0,102.0,3
163,7th Phase JP Nagar,1128.0,2.0,60.0,2
164,7th Phase JP Nagar,1140.0,2.0,57.0,2
165,7th Phase JP Nagar,1420.0,3.0,90.0,3
166,7th Phase JP Nagar,1530.0,2.0,108.0,2
167,8th Phase JP Nagar,1073.5,2.0,54.005,2
168,8th Phase JP Nagar,451.0,1.0,29.9,1
169,8th Phase JP Nagar,1062.0,2.0,42.47,2
170,8th Phase JP Nagar,1455.0,3.0,73.31,3
171,8th Phase JP Nagar,871.0,2.0,55.0,2
172,8th Phase JP Nagar,1098.0,2.0,43.91,2
173,8th Phase JP Nagar,1800.0,3.0,80.0,3
174,8th Phase JP Nagar,2700.0,4.0,130.0,4
175,8th Phase JP Nagar,1080.0,2.0,38.0,2
176,8th Phase JP Nagar,1059.0,2.0,34.5,2
177,8th Phase JP Nagar,1080.0,2.0,35.0,2
178,8th Phase JP Nagar,1062.0,2.0,42.47,2
179,8th Phase JP Nagar,500.0,1.0,31.0,1
180,8th Phase JP Nagar,1100.0,2.0,35.0,2
181,8th Phase JP Nagar,2100.0,4.0,92.0,4
182,8th Phase JP Nagar,1035.0,2.0,39.33,2
183,8th Phase JP Nagar,909.0,2.0,40.9,2
184,8th Phase JP Nagar,1431.5,3.0,72.02,3
185,8th Phase JP Nagar,1900.0,4.0,90.0,3
186,8th Phase JP Nagar,500.0,1.0,30.0,1
187,8th Phase JP Nagar,1125.0,2.0,36.94,2
188,8th Phase JP Nagar,1100.0,2.0,35.0,2
189,8th Phase JP Nagar,1089.0,2.0,43.55,2
190,8th Phase JP Nagar,1504.0,2.0,83.0,3
191,8th Phase JP Nagar,2600.0,4.0,115.0,4
192,8th Phase JP Nagar,1089.0,2.0,43.55,2
193,8th Phase JP Nagar,1513.0,2.0,62.0,2
194,8th Phase JP Nagar,1298.0,2.0,59.0,2
195,8th Phase JP Nagar,1006.0,2.0,44.0,2
196,8th Phase JP Nagar,500.0,1.0,33.0,1
197,8th Phase JP Nagar,1160.0,2.0,95.0,2
198,8th Phase JP Nagar,1245.0,2.0,59.0,2
199,8th Phase JP Nagar,1510.0,2.0,80.0,2
200,8th Phase JP Nagar,3300.0,3.0,165.0,3
201,8th Phase JP Nagar,1730.0,5.0,75.0,5
202,8th Phase JP Nagar,1046.0,2.0,48.0,2
203,8th Phase JP Nagar,1408.0,3.0,80.0,3
204,9th Phase JP Nagar,1005.0,2.0,50.0,2
205,9th Phase JP Nagar,1100.0,2.0,65.0,2
206,9th Phase JP Nagar,1080.0,2.0,37.0,2
207,9th Phase JP Nagar,1035.0,2.0,45.0,2
208,9th Phase JP Nagar,5000.0,4.0,290.0,4
209,9th Phase JP Nagar,1164.0,2.0,56.0,2
210,9th Phase JP Nagar,1005.0,2.0,42.0,2
211,9th Phase JP Nagar,1127.0,2.0,50.0,2
212,9th Phase JP Nagar,1005.0,2.0,43.0,2
213,9th Phase JP Nagar,835.0,2.0,37.0,2
214,9th Phase JP Nagar,1050.0,2.0,39.0,2
215,9th Phase JP Nagar,660.0,2.0,27.0,2
216,9th Phase JP Nagar,600.0,1.0,20.0,1
217,9th Phase JP Nagar,1466.0,2.0,71.0,2
218,9th Phase JP Nagar,1890.0,2.0,93.0,3
219,9th Phase JP Nagar,1079.0,2.0,60.0,2
220,9th Phase JP Nagar,1480.0,2.0,80.0,2
221,9th Phase JP Nagar,1200.0,2.0,80.0,2
222,9th Phase JP Nagar,905.0,2.0,32.0,2
223,9th Phase JP Nagar,1073.0,2.0,52.36,2
224,9th Phase JP Nagar,1719.3,2.0,88.0,3
225,9th Phase JP Nagar,1780.0,3.0,88.0,3
226,9th Phase JP Nagar,1522.0,3.0,90.0,3
227,9th Phase JP Nagar,890.0,2.0,45.0,2
228,9th Phase JP Nagar,5000.0,4.0,300.0,4
229,9th Phase JP Nagar,1050.0,2.0,35.0,2
230,9th Phase JP Nagar,1331.95,2.0,69.0,2
231,AECS Layout,1100.0,2.0,45.0,2
232,AECS Layout,1028.0,2.0,42.0,2
233,AECS Layout,1199.0,2.0,65.0,2
234,AECS Layout,1080.0,2.0,55.0,2
235,AECS Layout,1123.0,2.0,64.0,2
236,AECS Layout,1308.0,2.0,60.0,2
237,AECS Layout,1005.0,2.0,55.0,2
238,Abbigere,985.0,2.0,40.39,2
239,Abbigere,2200.0,6.0,68.0,6
240,Abbigere,765.0,2.0,30.0,1
241,Abbigere,880.0,2.0,35.0,2
242,Abbigere,795.0,2.0,32.54,2
243,Abbigere,1005.0,2.0,39.59,2
244,Abbigere,734.0,1.0,19.82,1
245,Abbigere,1020.0,2.0,41.82,2
246,Abbigere,985.0,2.0,40.39,2
247,Abbigere,2500.0,6.0,81.0,6
248,Abbigere,795.0,2.0,32.54,2
249,Abbigere,1130.0,2.0,46.33,2
250,Abbigere,795.0,1.0,32.6,2
251,Abbigere,3000.0,8.0,150.0,8
252,Abbigere,985.0,2.0,38.92,2
253,Abbigere,1000.0,2.0,41.0,2
254,Abbigere,995.0,2.0,40.8,2
255,Abbigere,1020.0,2.0,40.8,2
256,Akshaya Nagar,1388.0,2.0,57.0,2
257,Akshaya Nagar,1070.0,2.0,54.0,2
258,Akshaya Nagar,1280.0,2.0,58.0,2
259,Akshaya Nagar,1662.0,3.0,85.1,3
260,Akshaya Nagar,1897.0,3.0,120.0,3
261,Akshaya Nagar,1410.0,2.0,75.0,3
262,Akshaya Nagar,1360.0,2.0,85.0,3
263,Akshaya Nagar,1410.0,2.0,80.0,3
264,Akshaya Nagar,1662.0,3.0,85.0,3
265,Akshaya Nagar,1662.0,3.0,85.5,3
266,Akshaya Nagar,1280.0,2.0,60.0,2
267,Akshaya Nagar,1666.0,3.0,95.0,3
268,Akshaya Nagar,1575.0,3.0,90.0,3
269,Akshaya Nagar,1430.0,2.0,75.0,3
270,Akshaya Nagar,1419.0,2.0,73.0,3
271,Akshaya Nagar,1280.0,2.0,60.0,2
272,Akshaya Nagar,1200.0,2.0,50.0,2
273,Akshaya Nagar,1092.0,2.0,60.0,2
274,Akshaya Nagar,1690.0,3.0,85.0,3
275,Akshaya Nagar,1897.0,4.0,93.0,3
276,Akshaya Nagar,1884.0,3.0,98.0,3
277,Akshaya Nagar,1314.0,2.0,68.8,2
278,Akshaya Nagar,1690.0,3.0,85.0,3
279,Akshaya Nagar,1265.0,2.0,67.0,2
280,Akshaya Nagar,1126.0,2.0,55.0,2
281,Akshaya Nagar,1662.0,3.0,90.0,3
282,Akshaya Nagar,1420.0,2.0,75.0,3
283,Akshaya Nagar,1412.0,2.0,88.0,3
284,Akshaya Nagar,1434.0,3.0,84.0,3
285,Akshaya Nagar,1890.0,4.0,100.0,3
286,Akshaya Nagar,1419.0,2.0,87.0,3
287,Akshaya Nagar,1300.0,2.0,54.0,2
288,Akshaya Nagar,1690.0,3.0,85.0,3
289,Akshaya Nagar,1113.0,2.0,52.0,2
290,Akshaya Nagar,1820.0,4.0,95.0,3
291,Akshaya Nagar,1100.0,2.0,48.0,2
292,Akshaya Nagar,1896.0,3.0,102.0,3
293,Akshaya Nagar,1300.0,2.0,66.0,2
294,Akshaya Nagar,1225.0,2.0,68.0,2
295,Akshaya Nagar,1179.0,2.0,51.0,2
296,Akshaya Nagar,1421.0,2.0,73.0,3
297,Akshaya Nagar,1893.0,4.0,95.0,3
298,Akshaya Nagar,900.0,2.0,45.0,2
299,Ambalipura,1105.0,2.0,75.0,2
300,Ambalipura,1800.0,3.0,110.0,3
301,Ambalipura,1150.0,2.0,80.0,2
302,Ambalipura,1250.0,2.0,66.25,2
303,Ambalipura,1332.0,2.0,79.0,2
304,Ambalipura,1730.0,3.0,120.0,3
305,Ambalipura,1230.0,2.0,66.25,2
306,Ambalipura,1351.0,2.0,77.0,2
307,Ambalipura,1303.0,2.0,80.0,2
308,Ambalipura,1607.0,2.0,112.0,3
309,Ambalipura,770.0,1.0,43.82,1
310,Ambalipura,1700.0,2.0,76.0,2
311,Ambalipura,1060.0,2.0,58.5,2
312,Ambalipura,1650.0,3.0,100.0,3
313,Ambalipura,1607.0,2.0,112.0,3
314,Ambalipura,1198.0,2.0,80.0,2
315,Ambedkar Nagar,1935.0,4.0,130.0,3
316,Ambedkar Nagar,1424.0,2.0,90.0,2
317,Ambedkar Nagar,2225.0,4.0,169.0,3
318,Ambedkar Nagar,1862.0,3.0,120.0,3
319,Ambedkar Nagar,1850.0,4.0,139.0,3
320,Ambedkar Nagar,1936.0,4.0,126.0,3
321,Ambedkar Nagar,1862.0,3.0,119.0,3
322,Ambedkar Nagar,1424.0,2.0,90.0,2
323,Ambedkar Nagar,2150.0,4.0,125.0,3
324,Ambedkar Nagar,3530.0,4.0,290.0,4
325,Ambedkar Nagar,1856.0,3.0,120.0,3
326,Ambedkar Nagar,1852.0,3.0,130.0,3
327,Ambedkar Nagar,1850.0,4.0,120.0,3
328,Ambedkar Nagar,1367.0,2.0,86.0,2
329,Ambedkar Nagar,3565.0,4.0,255.0,4
330,Ambedkar Nagar,1409.0,2.0,95.0,2
331,Ambedkar Nagar,1950.0,4.0,120.0,3
332,Ambedkar Nagar,1921.0,4.0,129.0,3
333,Ambedkar Nagar,1920.0,4.0,121.0,3
334,Ambedkar Nagar,1935.0,4.0,125.0,3
335,Ambedkar Nagar,1852.0,4.0,122.0,3
336,Ambedkar Nagar,1950.0,4.0,120.0,3
337,Ambedkar Nagar,1852.0,3.0,125.0,3
338,Ambedkar Nagar,1850.0,4.0,121.0,3
339,Ambedkar Nagar,1425.0,2.0,94.0,2
340,Ambedkar Nagar,2395.0,4.0,150.0,3
341,Amruthahalli,900.0,2.0,40.0,2
342,Amruthahalli,1200.0,2.0,55.0,2
343,Amruthahalli,1900.0,3.0,135.0,3
344,Amruthahalli,924.0,2.0,45.0,2
345,Amruthahalli,900.0,2.0,60.0,2
346,Amruthahalli,1100.0,2.0,45.0,2
347,Amruthahalli,1200.0,2.0,55.0,2
348,Amruthahalli,1450.0,2.0,85.0,3
349,Amruthahalli,1200.0,2.0,55.0,2
350,Amruthahalli,1250.0,2.0,79.0,2
351,Amruthahalli,1190.0,2.0,50.0,2
352,Amruthahalli,1202.0,2.0,65.0,2
353,Amruthahalli,1340.0,2.0,75.0,2
354,Amruthahalli,2650.0,4.0,175.0,3
355,Amruthahalli,1450.0,2.0,90.0,3
356,Amruthahalli,1025.0,2.0,42.0,2
357,Amruthahalli,485.0,1.0,19.5,1
358,Anandapura,1167.0,2.0,43.76,2
359,Anandapura,1000.0,2.0,55.0,2
360,Anandapura,1141.0,2.0,42.79,2
361,Anandapura,1200.0,2.0,67.0,2
362,Anandapura,1200.0,2.0,58.0,2
363,Anandapura,1151.0,2.0,43.1,2
364,Anandapura,1141.0,2.0,42.75,2
365,Anandapura,900.0,2.0,48.0,2
366,Anandapura,1749.0,4.0,90.0,4
367,Anandapura,1151.0,2.0,42.9,2
368,Anandapura,1250.0,2.0,45.0,2
369,Anandapura,1151.0,2.0,43.16,2
370,Anandapura,1200.0,2.0,58.0,2
371,Anandapura,1200.0,2.0,66.0,3
372,Anandapura,1415.0,2.0,74.0,3
373,Anandapura,1200.0,2.0,50.0,2
374,Anandapura,1141.0,2.0,50.0,2
375,Ananth Nagar,500.0,1.0,14.0,1
376,Ananth Nagar,1100.0,2.0,31.5,2
377,Ananth Nagar,982.0,2.0,24.55,2
378,Ananth Nagar,500.0,2.0,14.0,1
379,Ananth Nagar,900.0,2.0,22.5,2
380,Ananth Nagar,908.0,2.0,26.0,2
381,Ananth Nagar,870.0,2.0,36.0,2
382,Ananth Nagar,937.0,2.0,35.0,2
383,Ananth Nagar,960.0,2.0,37.0,2
384,Ananth Nagar,500.0,1.0,14.0,1
385,Ananth Nagar,1000.0,2.0,29.7,2
386,Ananth Nagar,850.0,2.0,25.99,2
387,Ananth Nagar,902.0,2.0,25.26,2
388,Ananth Nagar,1470.0,3.0,54.0,3
389,Ananth Nagar,810.0,2.0,25.5,2
390,Ananth Nagar,890.0,2.0,27.0,2
391,Ananth Nagar,1200.0,2.0,36.0,2
392,Ananth Nagar,1319.0,3.0,42.0,3
393,Ananth Nagar,1000.0,2.0,25.0,2
394,Ananth Nagar,902.0,2.0,25.0,2
395,Ananth Nagar,930.0,2.0,25.99,2
396,Ananth Nagar,1074.0,2.0,26.85,2
397,Ananth Nagar,500.0,1.0,14.0,1
398,Ananth Nagar,1010.0,2.0,38.0,2
399,Ananth Nagar,992.0,2.0,24.8,2
400,Anekal,656.0,2.0,22.0,2
401,Anekal,620.0,2.0,22.0,2
402,Anekal,600.0,1.0,16.5,1
403,Anekal,925.0,2.0,40.0,2
404,Anekal,530.0,1.0,18.0,1
405,Anekal,1800.0,3.0,68.0,3
406,Anekal,351.0,1.0,16.0,1
407,Anekal,1035.0,2.0,38.3,2
408,Anekal,888.0,2.0,34.0,2
409,Anekal,1200.0,2.0,36.0,4
410,Anekal,766.0,2.0,28.0,2
411,Anekal,967.0,2.0,45.0,3
412,Anekal,620.0,1.0,23.5,2
413,Anekal,1150.0,3.0,45.0,3
414,Anekal,400.0,1.0,11.5,1
415,Anekal,456.0,1.0,15.0,1
416,Anekal,2400.0,4.0,95.0,3
417,Anekal,420.0,1.0,12.5,1
418,Anekal,614.0,1.0,28.0,2
419,Anekal,1140.0,2.0,52.0,2
420,Anekal,625.0,1.0,25.0,2
421,Anjanapura,1850.0,4.0,86.0,4
422,Anjanapura,1070.0,2.0,39.0,2
423,Anjanapura,1500.0,3.0,121.0,3
424,Anjanapura,1070.0,2.0,37.0,2
425,Anjanapura,950.0,2.0,40.0,2
426,Anjanapura,1280.0,2.0,45.0,3
427,Anjanapura,710.0,2.0,25.0,2
428,Anjanapura,950.0,2.0,32.0,2
429,Anjanapura,1800.0,4.0,55.0,4
430,Anjanapura,1843.0,3.0,87.54,3
431,Anjanapura,1076.0,2.0,30.13,2
432,Anjanapura,950.0,2.0,30.0,2
433,Ardendale,1750.0,3.0,100.0,3
434,Ardendale,3198.0,4.0,200.0,4
435,Ardendale,2422.0,4.0,160.0,4
436,Ardendale,1750.0,3.0,100.0,3
437,Ardendale,3200.0,4.0,205.0,4
438,Ardendale,1728.0,3.0,95.0,3
439,Ardendale,2062.0,3.0,140.0,4
440,Ardendale,1732.46,3.0,92.0,3
441,Ardendale,2062.0,3.0,150.0,4
442,Ardendale,1224.0,2.0,70.0,2
443,Ardendale,1777.26,3.0,105.0,3
444,Ardendale,1650.0,3.0,82.0,3
445,Ardendale,2062.0,3.0,140.0,4
446,Ardendale,1650.0,3.0,82.0,3
447,Ardendale,1224.0,2.0,67.0,2
448,Ardendale,1723.0,3.0,95.0,3
449,Ardendale,1777.26,3.0,89.0,3
450,Ardendale,1777.26,3.0,92.0,3
451,Arekere,2060.0,3.0,140.0,3
452,Arekere,920.0,2.0,40.0,2
453,Arekere,1740.0,2.0,95.0,3
454,Arekere,1190.0,2.0,55.0,2
455,Arekere,600.0,1.0,28.0,1
456,Arekere,2072.0,3.0,108.0,3
457,Arekere,1100.0,2.0,55.0,2
458,Arekere,900.0,2.0,50.0,2
459,Arekere,2710.0,6.0,142.0,4
460,Arekere,1240.0,2.0,60.0,2
461,Arekere,900.0,2.0,44.5,2
462,Attibele,450.0,1.0,11.0,1
463,Attibele,1600.0,4.0,52.8,4
464,Attibele,656.0,2.0,25.0,2
465,Attibele,400.0,1.0,11.0,1
466,Attibele,400.0,1.0,12.0,1
467,Attibele,400.0,1.0,14.0,1
468,Attibele,500.0,1.0,17.0,1
469,Attibele,2168.0,4.0,95.0,4
470,Attibele,395.0,1.0,10.25,1
471,Attibele,420.0,1.0,17.0,1
472,Attibele,418.0,1.0,12.0,1
473,Attibele,1200.0,2.0,42.0,2
474,Attibele,400.0,1.0,10.0,1
475,Attibele,695.0,1.0,25.0,2
476,Attibele,850.0,1.0,25.0,2
477,Attibele,2400.0,3.0,120.0,3
478,Attibele,450.0,1.0,12.5,1
479,Attibele,782.0,1.0,19.55,1
480,Attibele,656.0,2.0,25.0,2
481,Attibele,400.0,1.0,11.5,1
482,Attibele,460.0,1.0,13.0,1
483,Attibele,418.0,2.0,11.5,1
484,Attibele,1000.0,2.0,42.0,2
485,Attibele,550.0,1.0,11.5,1
486,Attibele,410.0,1.0,10.0,1
487,Attibele,1700.0,3.0,65.0,3
488,Attibele,400.0,1.0,10.25,1
489,Attibele,656.0,2.0,25.0,2
490,Attibele,1500.0,3.0,90.0,3
491,Attibele,520.0,1.0,15.0,1
492,BEML Layout,1060.0,2.0,55.0,2
493,BEML Layout,999.0,2.0,45.0,2
494,BEML Layout,2400.0,4.0,225.0,5
495,BEML Layout,1194.0,2.0,65.0,2
496,BEML Layout,1200.0,2.0,67.0,2
497,BEML Layout,2400.0,2.0,228.0,2
498,BEML Layout,1194.0,2.0,65.0,2
499,BTM 2nd Stage,1260.0,5.0,185.0,3
500,BTM 2nd Stage,950.0,2.0,52.0,2
501,BTM 2nd Stage,1850.0,3.0,170.0,3
502,BTM 2nd Stage,1200.0,2.0,80.0,2
503,BTM 2nd Stage,1274.0,2.0,70.0,2
504,BTM 2nd Stage,1070.0,2.0,48.0,2
505,BTM 2nd Stage,1280.0,2.0,80.0,2
506,BTM 2nd Stage,1100.0,2.0,70.0,2
507,BTM 2nd Stage,1000.0,2.0,58.0,2
508,BTM 2nd Stage,2990.0,5.0,416.0,5
509,BTM 2nd Stage,1265.0,2.0,55.0,2
510,BTM 2nd Stage,2200.0,3.0,220.0,3
511,BTM 2nd Stage,2780.0,4.0,325.0,3
512,BTM 2nd Stage,2400.0,2.0,360.0,3
513,BTM 2nd Stage,965.0,2.0,56.0,2
514,BTM 2nd Stage,1147.0,2.0,75.0,2
515,BTM 2nd Stage,1750.0,3.0,172.0,3
516,BTM 2nd Stage,1400.0,2.0,90.0,2
517,BTM 2nd Stage,1200.0,2.0,70.0,2
518,BTM 2nd Stage,1100.0,2.0,47.0,2
519,BTM 2nd Stage,930.0,2.0,46.0,2
520,BTM 2nd Stage,2500.0,3.0,345.0,3
521,BTM Layout,1150.0,2.0,63.0,2
522,BTM Layout,3300.0,6.0,165.0,6
523,BTM Layout,1450.0,2.0,81.0,3
524,BTM Layout,1776.0,2.0,75.0,3
525,BTM Layout,1458.0,3.0,79.0,3
526,BTM Layout,935.0,2.0,51.5,2
527,BTM Layout,1020.0,2.0,46.5,2
